date,ticker,side,quantity,entry_price,exit_price,stop_loss,take_profit,gross_pnl,net_pnl,result,close_reason,tier,ai_prob
2025-01-15 00:00:00+00:00,AAPL,BUY,350,237.81,229.76,234.96,244.687,-2817.5,-3062.97,LOSS,STOP_LOSS,B,0.7645
2025-04-10 00:00:00+00:00,MCD,BUY,85,306.52,304.775,295.12,319.8348,-148.33,-226.27,LOSS,TIME_STOP,B,0.752
2025-08-22 00:00:00+00:00,BA,BUY,213,229.74,215.6,227.48,237.7534,-3011.82,-3154.11,LOSS,STOP_LOSS,C,0.7963
2025-09-24 00:00:00+00:00,BA,BUY,382,215.13,230.36,212.68,222.2032,5817.86,5562.59,WIN,TAKE_PROFIT,B,0.776
2025-12-12 00:00:00+00:00,RTX,BUY,21,178.68,194.66,176.06,184.0978,335.58,323.82,WIN,TAKE_PROFIT,C,0.7842
2026-01-30 00:00:00+00:00,BAC,BUY,89,53.21,52.295,52.37,54.8119,-81.43,-95.52,LOSS,STOP_LOSS,B,0.8356
2026-04-01 00:00:00+00:00,RTX,BUY,433,194.66,,192.37,202.5556,,,,,B,0.7791
2026-05-12 00:00:00+00:00,XOM,BUY,83,150.65,162.61,148.87,157.1644,992.68,953.68,WIN,TAKE_PROFIT,B,0.8382
2026-06-24 00:00:00+00:00,ABNB,BUY,44,144.44,,142.67,150.6763,,,,,C,0.7559
