date,cash,stock_value,total_equity,open_positions,drawdown_pct,cumulative_return_pct
2025-06-10 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-06-12 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-06-13 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-06-16 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-06-24 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-01 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-21 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-23 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-25 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-28 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-07-30 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-01 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-04 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-07 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-11 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-12 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-14 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-18 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-20 00:00:00+00:00,96710.76,0.0,96710.76,0,-3.2892,-3.2892
2025-08-22 00:00:00+00:00,47702.71,48934.62,96637.33,1,-3.3627,-3.3627
2025-08-25 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-08-26 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-08-27 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-08-28 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-08-29 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-01 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-02 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-03 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-05 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-08 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-09 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-10 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-11 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-12 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-16 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-17 00:00:00+00:00,47702.71,0.0,47702.71,1,-52.2973,-52.2973
2025-09-19 00:00:00+00:00,93556.65,0.0,93556.65,0,-6.4433,-6.4433
2025-09-22 00:00:00+00:00,93556.65,0.0,93556.65,0,-6.4433,-6.4433
2025-09-23 00:00:00+00:00,93556.65,0.0,93556.65,0,-6.4433,-6.4433
2025-09-24 00:00:00+00:00,11253.68,82179.66,93433.34,1,-6.5667,-6.5667
2025-09-25 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-09-26 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-09-29 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-09-30 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-01 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-02 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-03 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-06 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-07 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-08 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-09 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-10 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-13 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-14 00:00:00+00:00,11253.68,81965.74,93219.42,1,-6.7806,-6.7806
2025-10-15 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-16 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-17 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-20 00:00:00+00:00,11253.68,82825.24,94078.92,1,-5.9211,-5.9211
2025-10-21 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-22 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-24 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-29 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-10-30 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-03 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-04 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-05 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-06 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-10 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-11 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-12 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-18 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-19 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-21 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-24 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-25 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-11-27 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-02 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-05 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-09 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-10 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-11 00:00:00+00:00,11253.68,0.0,11253.68,1,-88.7463,-88.7463
2025-12-12 00:00:00+00:00,7495.77,3752.28,11248.05,2,-88.7519,-88.7519
2025-12-19 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2025-12-22 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2025-12-24 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2025-12-25 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2025-12-29 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2025-12-30 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-05 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-07 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-08 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-09 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-12 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-13 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-14 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-15 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-16 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-22 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-23 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-27 00:00:00+00:00,7495.77,0.0,7495.77,2,-92.5042,-92.5042
2026-01-30 00:00:00+00:00,2752.97,4735.69,7488.66,3,-92.5113,-92.5113
2026-02-02 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-04 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-05 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-06 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-09 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-12 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-17 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-19 00:00:00+00:00,2752.97,0.0,2752.97,3,-97.247,-97.247
2026-02-25 00:00:00+00:00,90618.54,0.0,90618.54,2,-9.3815,-9.3815
2026-02-26 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-05 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-09 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-11 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-13 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-16 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-17 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-18 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-20 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-23 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-24 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-26 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-03-31 00:00:00+00:00,95265.82,0.0,95265.82,1,-4.7342,-4.7342
2026-04-01 00:00:00+00:00,14933.29,84287.78,99221.07,1,-0.7789,-0.7789
2026-04-02 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-03 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-08 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-09 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-14 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-15 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-16 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-17 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-21 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-23 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-04-24 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-05-01 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-05-08 00:00:00+00:00,14933.29,0.0,14933.29,1,-85.0667,-85.0667
2026-05-12 00:00:00+00:00,2410.58,12503.95,14914.53,2,-85.0855,-85.0855
2026-05-13 00:00:00+00:00,2410.58,0.0,2410.58,2,-97.5894,-97.5894
2026-05-19 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-20 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-21 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-22 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-25 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-27 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-05-28 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-02 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-03 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-09 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-10 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-11 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-12 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-15 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-19 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-22 00:00:00+00:00,15886.97,0.0,15886.97,1,-84.113,-84.113
2026-06-24 00:00:00+00:00,9522.08,6355.58,15877.66,2,-84.1223,-84.1223
2026-06-26 00:00:00+00:00,9522.08,6406.62,15928.7,2,-84.0713,-84.0713
2026-06-29 00:00:00+00:00,9522.08,0.0,9522.08,2,-90.4779,-90.4779
2026-06-30 00:00:00+00:00,9522.08,0.0,9522.08,2,-90.4779,-90.4779
2026-07-02 00:00:00+00:00,9522.08,0.0,9522.08,2,-90.4779,-90.4779
2026-07-03 00:00:00+00:00,9522.08,0.0,9522.08,2,-90.4779,-90.4779
2026-07-06 00:00:00+00:00,9522.08,0.0,9522.08,2,-90.4779,-90.4779
